Brand,Paddle Name,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Style,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
Diadem,Edge Blucore Pro 16,$249.95,PBEFFECT,https://a8qh.short.gy/ebc-p16,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.7,4.125,8.12,122,88%,6.65,69%,243,,,,,,,,,
Diadem,Icon Infinity Max,$219.95,PBEFFECT,https://a8qh.short.gy/IPM,2024,USAP,Widebody,Carbon,Paint Grit,Gen 2,All-Court,13.7,5,4.125,8.25,113,35%,7.35,96%,236,,,,,,,,,
Element 6,Zephyr,$139.99,PBEFFECT,https://a8qh.short.gy/zephyr,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.82,108,10%,6.84,82%,234,Very High,2021,58,99%,37.4,98%,98%,94,Firepower Elite
Element6,Fuego,$199.99,PBEFFECT,https://a8qh.short.gy/fuego,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.2,8,121,85%,6.61,67%,246,Very High,2016,55.7,44%,35.4,20%,32%,49,Firepower Control+
Element6,Surtr,$199,PBEFFECT,https://a8qh.short.gy/surtr,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,8.1,115,49%,6.54,62%,240,High,1961,57.2,96%,36.3,59%,78%,75,Firepower High
Engage,Alpha Pro 14,$259.99,PBEFFECT,https://a8qh.short.gy/14AP,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.25,8,112,29%,5.96,24%,240,Very High,2097,56.6,82%,36.3,59%,71%,68,Firepower High
Engage,Alpha Pro 16,$259.99,PBEFFECT,https://a8qh.short.gy/AP16,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.25,8,113,35%,6.21,39%,238,Very High,2085,56.4,75%,36.2,52%,64%,64,Firepower Balanced
Engage,Profoam,$229.99,PBEFFECT,https://a8qh.short.gy/profoam,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.25,4.25,8.06,122,88%,6.4,53%,247,High,1955,56.5,78%,36,42%,60%,64,Firepower Balanced
Engage,Pursuit Pro EX,$259.99,PBEFFECT,https://a8qh.short.gy/PEX,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5,4.25,8,110,18%,6.77,78%,236,High,1952,55.2,31%,36.6,74%,52%,51,Firepower Balanced
Engage,Pursuit Pro EX 6.0,$259.99,PBEFFECT,https://a8qh.short.gy/PEX6.0,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5,4.25,7.92,115,49%,7.37,97%,243,High,1946,55.7,44%,36.1,47%,46%,54,Firepower Balanced
Engage,Pursuit Pro MX,$259.99,PBEFFECT,https://a8qh.short.gy/PMX,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.75,4.25,8.06,119,78%,5.88,17%,239,,,56.1,63%,36.5,69%,66%,62,Firepower Balanced
Engage,Pursuit Pro MX 6.0,$259.99,PBEFFECT,https://a8qh.short.gy/PMX6.0,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.75,4.25,7.87,125,97%,6.57,64%,254,,,56.8,88%,35.7,32%,60%,66,Firepower High
Engage,Pursuit Pro1 (Lite),$259.99,PBEFFECT,https://a8qh.short.gy/Pro1,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,5.875,4.25,7.85,112,29%,5.83,15%,234,High,1964,55.4,35%,36.6,74%,55%,54,Firepower Balanced
Engage,Pursuit Pro1 (Standard),$259.99,PBEFFECT,https://a8qh.short.gy/Pro1,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,5.875,4.25,8.04,114,43%,5.94,22%,232,High,1956,55.9,54%,36.4,64%,59%,59,Firepower Balanced
Engage,Pursuit Pro1 6.0 (Lite),$259.99,PBEFFECT,https://a8qh.short.gy/Pro16.0,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.875,4.25,7.66,115,49%,5.81,13%,241,High,1948,55.8,50%,37.1,93%,71%,63,Firepower Balanced
Engage,Pursuit Pro1 6.0 (Standard),$259.99,PBEFFECT,https://a8qh.short.gy/Pro16.0,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.875,4.25,8.01,115,49%,5.83,15%,235,High,1959,55.6,41%,36.6,74%,57%,57,Firepower Balanced
Engage,Pursuit Pro1 6.0 Hybrid,$259.99,PBEFFECT,https://a8qh.short.gy/pro16.0h,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15.2,5.5,4.25,7.96,111,23%,6.22,40%,237,High,1961,54.1,14%,35,12%,13%,25,Firepower Soft
Engage,Pursuit Pro1 6.0 Widebody,$259.99,PBEFFECT,https://a8qh.short.gy/pro16.0w,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15.2,5,4.25,8.06,113,35%,7.60,99%,240,High,1980,54.8,22%,35,12%,17%,34,Firepower Soft
Engage,Pursuit Pro1 Hybrid,$259.99,PBEFFECT,https://a8qh.short.gy/pro1h,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,12.7,5.5,4.25,7.96,101,1%,5.50,5%,220,Very High,2026,53.4,8%,36,42%,25%,24,Firepower Soft
Engage,Pursuit Pro1 Innovation 12.7,$279.99,PBEFFECT,https://a8qh.short.gy/EI12.7,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,12.7,5.6,4.25,7.9,120,82%,5.90,19%,244,Very High,2059,56.1,63%,36.6,74%,68%,63,Firepower Balanced
Engage,Pursuit Pro1 Innovation 15.2,$279.99,PBEFFECT,https://a8qh.short.gy/EI15.2,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,15.2,5.6,4.25,7.92,125,97%,6.31,48%,252,Very High,2020,55.8,50%,36,42%,46%,55,Firepower Balanced
Engage,Pursuit Pro1 Widebody,$259.99,PBEFFECT,https://a8qh.short.gy/pro1w,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,12.7,5,4.25,8.1,105,4%,6.64,69%,224,Very High,2019,53.2,6%,35.5,24%,15%,17,Firepower Soft
Engage,Pursuit V2,$179.99,PBEFFECT,https://a8qh.short.gy/PV2,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1 ,All-Court,15.2,5.3,4.25,7.85,111,23%,5.94,22%,235,Very High,2119,55.2,31%,36.3,59%,45%,49,Firepower Control+
Enhance,Duo Elongated,$174.99,PBEFFECT,https://a8qh.short.gy/duo-e,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,8.1,119,78%,6.3,46%,243,Very High,2063,56.9,92%,36.7,81%,86%,74,Firepower High
Enhance,Gen 4.5,$175,PBEFFECT,https://a8qh.short.gy/4.5,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.1,8.2,122,88%,6.2,38%,241,Very High,2036,56.3,69%,36.3,59%,64%,64,Firepower Balanced
